name,description,url
Amazon Route 53,Scalable domain name system (DNS),https://aws.amazon.com/route53/faqs
Amazon VPC PrivateLink,Securely access services hosted on AWS,https://aws.amazon.com/privatelink/faqs
AWS App Mesh,Monitor and control microservices,https://aws.amazon.com/app-mesh/faqs
AWS Cloud Map,Service discovery for cloud resources,https://aws.amazon.com/cloud-map/faqs
AWS Direct Connect,Dedicated network connection to AWS,https://aws.amazon.com/directconnect/faqs
AWS Global Accelerator,Improve application availability and performance,https://aws.amazon.com/global-accelerator/faqs
AWS Transit Gateway,Easily scale VPC and account connections,https://aws.amazon.com/transit-gateway/faqs
AWS RoboMaker,"Develop, test, and deploy robotics applications",https://aws.amazon.com/robomaker/faqs
AWS Ground Station,Fully managed ground station as a service,https://aws.amazon.com/ground-station/faqs
AWS Identity and Access Management (IAM),Manage user access and encryption keys,https://aws.amazon.com/iam/faqs
Amazon Cloud Directory,Create flexible cloud-native directories,https://aws.amazon.com/cloud-directory/faqs
Amazon Cognito,Identity management for your apps,https://aws.amazon.com/cognito/faqs
Amazon GuardDuty,Managed threat detection service,https://aws.amazon.com/guardduty/faqs
Amazon Inspector,Analyze application security,https://aws.amazon.com/inspector/faqs
Amazon Macie,"Discover, classify, and protect your data",https://aws.amazon.com/macie/faqs
AWS Artifact,On-demand access to AWS' compliance reports,https://aws.amazon.com/artifact/faqs
AWS Certificate Manager,"Provision, manage, and deploy SSL/TLS certificates",https://aws.amazon.com/certificate-manager/faqs
AWS CloudHSM,Hardware-based key storage for regulatory compliance,https://aws.amazon.com/cloudhsm/faqs
AWS Directory Service,Host and manage active directory,https://aws.amazon.com/directoryservice/faqs
AWS Firewall Manager,Central management of firewall rules,https://aws.amazon.com/firewall-manager/faqs
AWS Key Management Service,Managed creation and control of encryption keys,https://aws.amazon.com/kms/faqs
AWS Organizations,Policy-based management for multiple AWS accounts,https://aws.amazon.com/organizations/faqs
AWS Secrets Manager,"Rotate, manage, and retrieve secrets",https://aws.amazon.com/secrets-manager/faqs
AWS Security Hub,Unified security and compliance center,https://aws.amazon.com/security-hub/faqs
AWS Shield,DDoS protection,https://aws.amazon.com/shield/faqs
AWS Single Sign-On,Cloud single sign-on (SSO) service,https://aws.amazon.com/single-sign-on/faqs
AWS WAF,Filter malicious web traffic,https://aws.amazon.com/waf/faqs
Amazon Simple Storage Service (S3),Scalable storage in the cloud,https://aws.amazon.com/s3/faqs
Amazon Elastic Block Store (EBS),EC2 block storage volumes,https://aws.amazon.com/ebs/faqs
Amazon Elastic File System (EFS),Fully managed file system for EC2,https://aws.amazon.com/efs/faqs
Amazon FSx for Lustre,Fully managed compute-intensive file system,https://aws.amazon.com/fsx/faqs
Amazon FSx for Windows File Server,Fully managed Windows native file system,https://aws.amazon.com/fsx/faqs
Amazon S3 Glacier,Low-cost archive storage in the cloud,https://aws.amazon.com/glacier1/faqs
AWS Backup,Centralized backup across AWS services,https://aws.amazon.com/backup/faqs
AWS Snow Family,Physical devices to migrate data into and out of AWS,https://aws.amazon.com/snow/faqs
AWS Storage Gateway,Hybrid storage integration,https://aws.amazon.com/storagegateway/faqs
